compare_label	comparison	region_label	filter	variant_type	truth_total	truth_tp	truth_fn	query_total	query_tp	query_fp	metric_recall	metric_precision	metric_f1	truth_fn_gt	query_fp_gt
compare	GT	ALL	ALL	ALL	2	2	0	4	3	1	1.0	0.75	0.8571428571428571	0	1
compare	GT	ALL	ALL	Snv	0	0	0	1	1	0		1.0		0	0
compare	GT	ALL	ALL	Insertion	2	2	0	3	2	1	1.0	0.6666666666666666	0.8	0	1
compare	GT	ALL	ALL	JointIndel	2	2	0	3	2	1	1.0	0.6666666666666666	0.8	0	1
compare	HAP	ALL	ALL	ALL	4	4	0	5	4	1	1.0	0.8	0.888888888888889		
compare	HAP	ALL	ALL	Snv	0	0	0	1	1	0		1.0			
compare	HAP	ALL	ALL	Insertion	4	4	0	4	3	1	1.0	0.75	0.8571428571428571		
compare	HAP	ALL	ALL	JointIndel	4	4	0	4	3	1	1.0	0.75	0.8571428571428571		
compare	WEIGHTED_HAP	ALL	ALL	ALL	4	4	0	7	5	2	1.0	0.7142857142857143	0.8333333333333333		
compare	WEIGHTED_HAP	ALL	ALL	Snv	0	0	0	1	1	0		1.0			
compare	WEIGHTED_HAP	ALL	ALL	Insertion	4	4	0	6	4	2	1.0	0.6666666666666666	0.8		
compare	WEIGHTED_HAP	ALL	ALL	JointIndel	4	4	0	6	4	2	1.0	0.6666666666666666	0.8		
compare	BASEPAIR	ALL	ALL	ALL	8	8	0	12	8	4	1.0	0.6666666666666666	0.8		
compare	BASEPAIR	ALL	ALL	Snv	0	0	0	2	1	1		0.5			
compare	BASEPAIR	ALL	ALL	Insertion	8	8	0	12	7	5	1.0	0.5833333333333334	0.7368421052631579		
compare	BASEPAIR	ALL	ALL	JointIndel	8	8	0	12	7	5	1.0	0.5833333333333334	0.7368421052631579		
