compare_label	comparison	region_label	filter	variant_type	truth_total	truth_tp	truth_fn	query_total	query_tp	query_fp	metric_recall	metric_precision	metric_f1	truth_fn_gt	query_fp_gt
compare	GT	ALL	ALL	ALL	4	4	0	3	3	0	1.0	1.0	1.0	0	0
compare	GT	ALL	ALL	Snv	2	2	0	1	1	0	1.0	1.0	1.0	0	0
compare	GT	ALL	ALL	Deletion	2	2	0	2	2	0	1.0	1.0	1.0	0	0
compare	GT	ALL	ALL	JointIndel	2	2	0	2	2	0	1.0	1.0	1.0	0	0
compare	HAP	ALL	ALL	ALL	4	4	0	4	4	0	1.0	1.0	1.0		
compare	HAP	ALL	ALL	Snv	2	2	0	1	1	0	1.0	1.0	1.0		
compare	HAP	ALL	ALL	Deletion	2	2	0	3	3	0	1.0	1.0	1.0		
compare	HAP	ALL	ALL	JointIndel	2	2	0	3	3	0	1.0	1.0	1.0		
compare	WEIGHTED_HAP	ALL	ALL	ALL	20	20	0	19	19	0	1.0	1.0	1.0		
compare	WEIGHTED_HAP	ALL	ALL	Snv	2	2	0	1	1	0	1.0	1.0	1.0		
compare	WEIGHTED_HAP	ALL	ALL	Deletion	18	18	0	18	18	0	1.0	1.0	1.0		
compare	WEIGHTED_HAP	ALL	ALL	JointIndel	18	18	0	18	18	0	1.0	1.0	1.0		
compare	BASEPAIR	ALL	ALL	ALL	38	38	0	38	38	0	1.0	1.0	1.0		
compare	BASEPAIR	ALL	ALL	Snv	4	3	1	2	2	0	0.75	1.0	0.8571428571428571		
compare	BASEPAIR	ALL	ALL	Deletion	36	35	1	36	36	0	0.9722222222222222	1.0	0.9859154929577464		
compare	BASEPAIR	ALL	ALL	JointIndel	36	35	1	36	36	0	0.9722222222222222	1.0	0.9859154929577464		
